customer_id,sale_amount
1,2051
2,5334
3,8333
4,8485
5,1781
6,3758
7,9947
8,9218
9,6991
10,9480
11,9075
12,8142
13,9709
14,7326
15,4031
16,141
17,1422
18,1914
19,4806
20,1706
21,7467
22,288
23,8132
24,5248
25,3544
26,6608
27,4220
28,5796
29,5943
30,6266
31,8514
32,1350
33,5677
34,1569
35,9233
36,8915
37,4886
38,4812
39,7594
40,2408
41,9560
42,5162
43,505
44,6143
45,6056
46,7654
47,7017
48,1585
49,6633
50,9696
51,9184
52,8266
53,2007
54,7070
55,8396
56,9933
57,8145
58,6623
59,8695
60,4337
61,6980
62,9340
63,7951
64,8504
65,8586
66,515
67,9529
68,3778
69,2213
70,900
71,8672
72,1780
73,7135
74,7801
75,2433
76,7998
77,3850
78,2099
79,7584
80,7790
81,9039
82,4212
83,9271
84,6687
85,5140
86,9080
87,8323
88,7946
89,6685
90,7195
91,3418
92,4923
93,4507
94,251
95,642
96,2555
97,9885
98,7607
99,8667
100,8120
101,5997
102,3374
103,4361
104,8055
105,7745
106,8476
107,8245
108,7214
109,9239
110,650
111,4852
112,5288
113,7598
114,1711
115,7283
116,8540
117,4340
118,7520
119,3099
120,7075
121,7950
122,1153
123,4465
124,8266
125,6164
126,1683
127,3288
128,6838
129,2497
130,7462
131,329
132,1610
133,103
134,7492
135,9613
136,9055
137,1460
138,3357
139,4160
140,2079
141,831
142,9053
143,4499
144,5953
145,2635
146,184
147,5235
148,9652
149,9509
150,8160
151,2309
152,9042
153,3752
154,7849
155,9732
156,2249
157,9899
158,8369
159,4862
160,1483
161,6944
162,2723
163,2317
164,9701
165,5113
166,8418
167,6850
168,6496
169,2533
170,8620
171,3322
172,6260
173,331
174,1838
175,6479
176,1303
177,941
178,5785
179,5890
180,522
181,519
182,8462
183,7899
184,5470
185,5075
186,7475
187,5441
188,2088
189,8252
190,7744
191,9465
192,2897
193,2621
194,9787
195,8613
196,3491
197,7204
198,5611
199,7617
200,9901
201,3922
202,1238
203,9067
204,6639
205,659
206,3302
207,2940
208,841
209,9025
210,889
211,7502
212,3188
213,8027
214,435
215,2215
216,8782
217,3683
218,8568
219,2356
220,2727
221,3147
222,6489
223,4569
224,7069
225,8832
226,6884
227,1388
228,6378
229,5095
230,3167
231,5737
232,2962
233,4416
234,7700
235,8252
236,6911
237,4813
238,7762
239,2999
240,5437
241,8608
242,7997
243,7384
244,2067
245,8738
246,8696
247,4586
248,1649
249,3611
250,3890
251,180
252,1625
253,7540
254,5513
255,6784
256,9030
257,3089
258,545
259,5866
260,2668
261,5862
262,9307
263,9477
264,8920
265,3647
266,1897
267,4695
268,9206
269,9406
270,3613
271,9436
272,4928
273,9321
274,4492
275,9205
276,2272
277,1762
278,4420
279,1679
280,7244
281,2906
282,1837
283,1090
284,5936
285,3139
286,1841
287,8400
288,5237
289,4634
290,9735
291,1147
292,4868
293,5254
294,2744
295,4373
296,4296
297,1130
298,327
299,6844
300,4311
301,6891
302,352
303,1038
304,1680
305,3953
306,476
307,5177
308,2115
309,1637
310,9294
311,9545
312,5839
313,5260
314,7571
315,722
316,6722
317,5278
318,3632
319,9833
320,7680
321,7081
322,2056
323,6230
324,8312
325,4221
326,6474
327,4882
328,5937
329,1044
330,7255
331,487
332,4710
333,5515
334,4844
335,2104
336,4965
337,6926
338,5324
339,9694
340,432
341,8982
342,5711
343,3334
344,9289
345,1019
346,1944
347,2756
348,2110
349,2037
350,711
351,2159
352,8662
353,5900
354,9880
355,5051
356,571
357,7059
358,9572
359,2169
360,5932
361,6904
362,6393
363,6279
364,4020
365,6997
366,3697
367,2151
368,3105
369,8995
370,565
371,8969
372,9191
373,6602
374,4277
375,2519
376,3839
377,482
378,371
379,4635
380,8966
381,7945
