customer_id,sale_amount
1,6638
2,8273
3,9808
4,154
5,8844
6,1382
7,4772
8,4285
9,7473
10,8889
11,2331
12,8511
13,7311
14,1038
15,5366
16,9849
17,4332
18,9823
19,6739
20,1343
21,6456
22,7809
23,4244
24,8544
25,3883
26,7642
27,8708
28,7194
29,7321
30,3611
31,3791
32,504
33,8180
34,6759
35,6678
36,2063
37,533
38,6532
39,6357
40,8413
41,1463
42,6732
43,5840
44,8890
45,7313
46,3713
47,5902
48,7341
49,5651
50,8915
51,1121
52,9140
53,6882
54,2660
55,8005
56,6223
57,2382
58,414
59,9938
60,7859
61,2647
62,4913
63,3151
64,5364
65,4443
66,4387
67,2819
68,942
69,3163
70,8716
71,210
72,9813
73,1981
74,1244
75,4335
76,1641
77,7806
78,8321
79,3685
80,803
81,5538
82,1967
83,1949
84,1028
85,2590
86,3680
87,4745
88,1386
89,8351
90,7257
91,1954
92,8082
93,7380
94,6632
95,5389
96,9394
97,6109
98,9570
99,570
100,3963
101,6430
102,4046
103,1296
104,814
105,5824
106,9732
107,7345
108,3764
109,8842
110,431
111,1725
112,7615
113,2795
114,365
115,3612
116,1297
117,4630
118,4384
119,9162
120,5070
121,1017
122,1729
123,2923
124,8992
125,5271
126,1793
127,6432
128,5906
129,6356
130,335
131,8285
132,4376
133,1206
134,3558
135,5925
136,9119
137,3235
138,7579
139,3810
140,1224
141,901
142,5380
143,7869
144,9551
145,9200
146,8362
147,4857
148,9512
149,6524
150,2823
151,5512
152,3258
153,9503
154,2502
155,933
156,1240
157,9398
158,7759
159,3710
160,5493
161,3319
162,2410
163,8048
164,2572
165,1908
166,561
167,247
168,8384
169,2705
170,7599
171,393
172,6269
173,8763
174,7385
175,155
176,2881
177,6512
178,2639
179,6151
180,9149
181,2880
182,8232
183,7400
184,551
185,5624
186,6257
187,367
188,8401
189,5405
190,7116
191,3823
192,4700
193,5823
194,9423
195,5605
196,4775
197,952
198,5300
199,7296
200,6367
201,7562
202,5547
203,9620
204,1296
205,2998
206,9272
207,8390
208,2323
209,829
210,6684
211,7794
212,5703
213,2472
214,557
215,6631
216,2939
217,3756
218,4913
219,722
220,7739
221,2331
222,4562
223,8945
224,7125
225,1228
226,1329
227,712
228,5862
229,9551
230,6252
231,2679
232,8188
233,3124
234,1574
235,5459
236,6837
237,4752
238,8872
239,514
240,7230
241,5967
242,2523
243,463
244,2481
245,207
246,8194
247,5504
248,2525
249,7516
250,877
251,7833
252,5261
253,3996
254,6074
255,3634
256,7732
257,4880
258,4487
259,867
260,1586
261,7781
262,3928
263,4659
264,8233
265,9906
266,2100
267,2268
268,4248
269,9001
270,1122
271,610
272,2715
273,8750
274,5798
275,8995
276,2755
277,7113
278,847
279,4016
280,6821
281,5690
282,9083
283,640
284,5075
285,9247
286,9042
287,2439
288,8717
289,5969
290,9283
291,1802
292,7066
293,4559
294,1046
295,6586
296,9328
297,952
298,802
299,4392
300,3793
301,9528
302,2755
303,3266
304,873
305,2143
306,710
307,3897
308,1364
309,6541
310,4041
311,8430
312,1715
313,8504
314,5509
315,7187
316,9214
317,3459
318,545
319,1904
320,2903
321,9812
322,6229
323,4846
324,1082
325,7086
326,1150
327,1551
328,4786
329,674
330,4629
331,3082
332,7050
333,9619
334,8273
335,8767
336,8632
337,6205
338,1079
339,549
340,8760
341,4359
342,1244
343,7289
344,5795
345,8500
346,6588
347,7920
348,9829
349,1411
350,2866
351,4756
352,9892
353,3767
354,869
355,8427
356,8483
357,6024
358,8463
359,9372
360,7017
361,3362
362,3238
363,5215
364,2605
365,8777
366,1550
367,3309
368,3192
369,109
370,1578
371,6615
372,4219
373,5138
374,8005
375,6485
