customer_id,sale_amount
1,1972
2,6372
3,4341
4,1867
5,4441
6,5500
7,5916
8,5876
9,7465
10,9451
11,984
12,3312
13,6187
14,6522
15,4645
16,7954
17,8290
18,7644
19,5048
20,8996
21,1370
22,1005
23,3274
24,7364
25,2616
26,2186
27,2397
28,1255
29,9610
30,4179
31,4377
32,6597
33,1810
34,5990
35,2854
36,4661
37,2610
38,8819
39,3758
40,3535
41,4581
42,1271
43,829
44,9792
45,2464
46,958
47,5206
48,2935
49,406
50,1480
51,3861
52,7745
53,3955
54,633
55,4964
56,6474
57,7500
58,2875
59,740
60,6040
61,8756
62,6815
63,134
64,597
65,6882
66,2986
67,1262
68,2200
69,8075
70,9564
71,8556
72,9296
73,3100
74,5853
75,6275
76,5105
77,6017
78,9445
79,8743
80,4305
81,3659
82,371
83,2806
84,9596
85,1863
86,2448
87,9282
88,7268
89,631
90,5535
91,516
92,7903
93,5272
94,7205
95,3570
96,3645
97,3364
98,3377
99,5195
100,9301
101,9698
102,1222
103,9181
104,3387
105,450
106,137
107,6723
108,8961
109,5620
110,7559
111,5284
112,1293
113,6011
114,8895
115,5395
116,7168
117,7887
118,8461
119,3872
120,1277
121,6166
122,2099
123,6602
124,987
125,9582
126,4724
127,1562
128,7793
129,6458
130,5683
131,3600
132,1021
133,6640
134,4602
135,3678
136,5377
137,7204
138,8488
139,3518
140,4512
141,4419
142,8822
143,6502
144,9866
145,3664
146,151
147,1072
148,5752
149,2671
150,6939
151,3225
152,1933
153,7550
154,3070
155,8851
156,8284
157,3602
158,9989
159,2752
160,1178
161,9430
162,7873
163,9999
164,6648
165,6110
166,7398
167,8969
168,7100
169,6784
170,7167
171,9635
172,1938
173,3068
174,4859
175,1561
176,5018
177,3733
178,5468
179,4572
180,2822
181,3037
182,1220
183,6693
184,3091
185,1334
186,7430
187,927
188,993
189,7568
190,862
191,7004
192,3044
193,9352
194,8818
195,6802
196,6388
197,7854
198,5747
199,384
200,3888
201,8634
202,7635
203,6895
204,3546
205,211
206,4970
207,828
208,1243
209,8078
210,1036
211,9032
212,2964
213,1326
214,9874
215,3214
216,4553
217,3663
218,3194
219,5246
220,438
221,4906
222,3475
223,4904
224,4189
225,7989
226,9871
227,8199
228,9693
229,9057
230,2092
231,9242
232,3252
233,539
234,8481
235,7674
236,784
237,4156
238,5598
239,5141
240,6473
241,3869
242,4726
243,9317
244,5572
245,4317
246,590
247,874
248,8334
249,9851
250,427
251,8236
252,2503
253,2906
254,1794
255,9820
256,7817
257,3708
258,5644
259,4131
260,9203
261,236
262,768
263,3477
264,3212
265,2427
266,2852
267,7983
268,4661
269,2512
270,9879
271,9219
272,4076
273,5677
274,6254
275,5460
276,3294
277,196
278,7388
279,1197
280,8672
281,3205
282,245
283,2051
284,6492
285,656
286,9607
287,9979
288,6913
289,390
290,2957
291,2514
292,117
293,7588
294,6989
295,3573
296,2960
297,1584
298,2604
299,7316
300,383
301,2348
302,561
303,395
304,606
305,3451
306,7876
307,5742
308,2094
309,6884
310,8113
311,2027
312,6320
313,2553
314,4763
315,2927
316,7780
317,5264
318,7919
319,328
320,7589
321,3056
322,1905
323,1467
324,5629
325,8087
326,1982
327,7110
328,9721
329,2680
330,8812
331,6351
332,7258
333,9308
